utc,family,ticker,side,target,ref,qual_score,qual_size,levels,book_depth,share_at_20
2026-09-07T08:06:46+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,yes,1000,0.1200,1120.00,1120.00,2,5483.00,0.01754
2026-09-07T08:06:46+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,no,1000,0.7200,740.00,1240.00,3,7073.00,0.02632
2026-09-07T08:07:47+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,yes,300,0.8600,348.12,2399.00,4,16883.56,0.05433
2026-09-07T08:07:47+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,no,300,0.0900,2160.00,2160.00,2,10732.30,0.00917
2026-09-07T08:07:47+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,yes,300,0.0500,470.32,689.64,2,5688.53,0.04079
2026-09-07T08:07:47+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,no,300,0.9200,102.76,342.80,12,13408.09,0.16292
2026-09-07T08:07:47+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,yes,300,0.3300,302.00,302.00,1,37937.80,0.06211
2026-09-07T08:07:47+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,no,300,0.6600,2105.00,2105.00,1,35399.62,0.00941
2026-09-07T08:07:47+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,yes,300,0.2400,1357.00,2440.50,2,45044.30,0.01452
2026-09-07T08:07:47+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,no,300,0.7400,1270.50,2320.50,2,44792.53,0.01550
2026-09-07T08:07:47+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,yes,300,0.9120,270.00,440.00,3,24563.02,0.06897
2026-09-07T08:07:47+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,no,300,0.0860,2200.00,2200.00,1,174808.64,0.00901
