SWEEP -- live, appended as each combination finishes
started 01:25:02 AM ET

  gate   tau  ceil  edge |  buys closes | loss%  | med px |  c/buy  |    total
  0.995   30    97c  0.3c |   127     91 | 13.39% |  94.7c |  -1.75c |    -2.23
  0.995   30    97c  1.0c |   127     91 | 13.39% |  94.7c |  -1.75c |    -2.23
  0.995   30    97c  3.0c |   105     77 | 16.19% |  93.9c |  -2.59c |    -2.72
  0.995   30    98c  0.3c |   221    136 |  7.69% |  96.9c |  -0.83c |    -1.83
  0.995   30    98c  1.0c |   221    136 |  7.69% |  96.9c |  -0.83c |    -1.83
  0.995   30    98c  3.0c |   105     77 | 16.19% |  93.9c |  -2.59c |    -2.72
  0.995   40    90c  0.3c |    50     34 | 40.00% |  76.0c |  -8.79c |    -4.40
  0.995   40    90c  1.0c |    50     34 | 40.00% |  76.0c |  -8.79c |    -4.40
  0.995   40    90c  3.0c |    50     34 | 40.00% |  76.0c |  -8.79c |    -4.40
  0.995   40    95c  0.3c |   109     78 | 20.18% |  92.2c |  -4.66c |    -5.08
  0.995   40    95c  1.0c |   109     78 | 20.18% |  92.2c |  -4.66c |    -5.08
  0.995   40    95c  3.0c |   109     78 | 20.18% |  92.2c |  -4.66c |    -5.08
  0.995   40    97c  0.3c |   200    128 | 11.00% |  95.6c |  -1.65c |    -3.31
  0.995   40    97c  1.0c |   200    128 | 11.00% |  95.6c |  -1.65c |    -3.31
  0.995   40    97c  3.0c |   166    110 | 13.25% |  94.5c |  -2.45c |    -4.07
  0.995   40    98c  0.3c |   329    170 |  6.69% |  96.9c |  -0.75c |    -2.48
  0.995   40    98c  1.0c |   329    170 |  6.69% |  96.9c |  -0.75c |    -2.48
  0.995   40    98c  3.0c |   166    110 | 13.25% |  94.5c |  -2.45c |    -4.07
  0.995   50    90c  0.3c |    62     42 | 37.10% |  79.0c |  -7.41c |    -4.59
  0.995   50    90c  1.0c |    62     42 | 37.10% |  79.0c |  -7.41c |    -4.59
  0.995   50    90c  3.0c |    62     42 | 37.10% |  79.0c |  -7.41c |    -4.59
  0.995   50    95c  0.3c |   147    102 | 17.01% |  92.9c |  -2.68c |    -3.94
  0.995   50    95c  1.0c |   147    102 | 17.01% |  92.9c |  -2.68c |    -3.94
  0.995   50    95c  3.0c |   147    102 | 17.01% |  92.9c |  -2.68c |    -3.94
  0.995   50    97c  0.3c |   261    148 |  9.58% |  95.2c |  -0.89c |    -2.31
  0.995   50    97c  1.0c |   261    148 |  9.58% |  95.2c |  -0.89c |    -2.31
  0.995   50    97c  3.0c |   213    128 | 11.74% |  94.4c |  -1.37c |    -2.93
  0.995   50    98c  0.3c |   446    199 |  5.61% |  97.0c |  -0.11c |    -0.51
  0.995   50    98c  1.0c |   446    199 |  5.61% |  97.0c |  -0.11c |    -0.51
  0.995   50    98c  3.0c |   213    128 | 11.74% |  94.4c |  -1.37c |    -2.93
  0.995   55    90c  0.3c |    74     50 | 33.78% |  79.0c |  -4.90c |    -3.63
  0.995   55    90c  1.0c |    74     50 | 33.78% |  79.0c |  -4.90c |    -3.63
  0.995   55    90c  3.0c |    74     50 | 33.78% |  79.0c |  -4.90c |    -3.63
  0.995   55    95c  0.3c |   168    110 | 16.07% |  92.4c |  -1.53c |    -2.57
  0.995   55    95c  1.0c |   168    110 | 16.07% |  92.4c |  -1.53c |    -2.57
  0.995   55    95c  3.0c |   168    110 | 16.07% |  92.4c |  -1.53c |    -2.57
  0.995   55    97c  0.3c |   310    163 |  8.71% |  95.4c |  -0.24c |    -0.75
  0.995   55    97c  1.0c |   310    163 |  8.71% |  95.4c |  -0.24c |    -0.75
  0.995   55    97c  3.0c |   247    136 | 10.93% |  94.6c |  -0.52c |    -1.28
  0.995   55    98c  0.3c |   516    211 |  5.23% |  97.0c |  +0.25c |    +1.30
  0.995   55    98c  1.0c |   516    211 |  5.23% |  97.0c |  +0.25c |    +1.30
  0.995   55    98c  3.0c |   247    136 | 10.93% |  94.6c |  -0.52c |    -1.28
  0.999   30    90c  0.3c |    28     20 | 53.57% |  76.0c | -14.53c |    -4.07
  0.999   30    90c  1.0c |    28     20 | 53.57% |  76.0c | -14.53c |    -4.07
  0.999   30    90c  3.0c |    28     20 | 53.57% |  76.0c | -14.53c |    -4.07
  0.999   30    95c  0.3c |    56     41 | 28.57% |  91.9c |  -6.84c |    -3.83
  0.999   30    95c  1.0c |    56     41 | 28.57% |  91.9c |  -6.84c |    -3.83
  0.999   30    95c  3.0c |    56     41 | 28.57% |  91.9c |  -6.84c |    -3.83
  0.999   30    97c  0.3c |    90     67 | 17.78% |  94.7c |  -3.27c |    -2.95
  0.999   30    97c  1.0c |    90     67 | 17.78% |  94.7c |  -3.27c |    -2.95
  0.999   30    97c  3.0c |    78     58 | 20.51% |  94.1c |  -4.08c |    -3.18
  0.999   30    98c  0.3c |   161    102 |  9.94% |  97.0c |  -1.89c |    -3.04
  0.999   30    98c  1.0c |   161    102 |  9.94% |  97.0c |  -1.89c |    -3.04
  0.999   30    98c  3.0c |    78     58 | 20.51% |  94.1c |  -4.08c |    -3.18
  0.999   40    90c  0.3c |    33     23 | 54.55% |  71.0c | -15.74c |    -5.19
  0.999   40    90c  1.0c |    33     23 | 54.55% |  71.0c | -15.74c |    -5.19
  0.999   40    90c  3.0c |    33     23 | 54.55% |  71.0c | -15.74c |    -5.19
  0.999   40    95c  0.3c |    70     49 | 27.14% |  92.0c |  -6.60c |    -4.62
  0.999   40    95c  1.0c |    70     49 | 27.14% |  92.0c |  -6.60c |    -4.62
  0.999   40    95c  3.0c |    70     49 | 27.14% |  92.0c |  -6.60c |    -4.62
  0.999   40    97c  0.3c |   128     90 | 14.84% |  95.4c |  -2.33c |    -2.98
  0.999   40    97c  1.0c |   128     90 | 14.84% |  95.4c |  -2.33c |    -2.98
  0.999   40    97c  3.0c |   110     78 | 17.27% |  94.7c |  -3.07c |    -3.38
  0.999   40    98c  0.3c |   233    131 |  8.15% |  97.2c |  -1.05c |    -2.45
  0.999   40    98c  1.0c |   233    131 |  8.15% |  97.2c |  -1.05c |    -2.45
  0.999   40    98c  3.0c |   110     78 | 17.27% |  94.7c |  -3.07c |    -3.38
  0.999   50    90c  0.3c |    39     28 | 51.28% |  76.0c | -15.22c |    -5.94
  0.999   50    90c  1.0c |    39     28 | 51.28% |  76.0c | -15.22c |    -5.94
  0.999   50    90c  3.0c |    39     28 | 51.28% |  76.0c | -15.22c |    -5.94
  0.999   50    95c  0.3c |    86     61 | 24.42% |  92.0c |  -5.54c |    -4.77
  0.999   50    95c  1.0c |    86     61 | 24.42% |  92.0c |  -5.54c |    -4.77
  0.999   50    95c  3.0c |    86     61 | 24.42% |  92.0c |  -5.54c |    -4.77
  0.999   50    97c  0.3c |   159    106 | 13.21% |  95.2c |  -1.64c |    -2.60
  0.999   50    97c  1.0c |   159    106 | 13.21% |  95.2c |  -1.64c |    -2.60
  0.999   50    97c  3.0c |   137     94 | 15.33% |  94.7c |  -2.26c |    -3.10
  0.999   50    98c  0.3c |   308    158 |  6.82% |  97.3c |  -0.44c |    -1.34
  0.999   50    98c  1.0c |   308    158 |  6.82% |  97.3c |  -0.44c |    -1.34
  0.999   50    98c  3.0c |   137     94 | 15.33% |  94.7c |  -2.26c |    -3.10
  0.999   55    90c  0.3c |    42     31 | 52.38% |  75.0c | -14.91c |    -6.26
  0.999   55    90c  1.0c |    42     31 | 52.38% |  75.0c | -14.91c |    -6.26
  0.999   55    90c  3.0c |    42     31 | 52.38% |  75.0c | -14.91c |    -6.26
  0.999   55    95c  0.3c |    96     65 | 23.96% |  92.0c |  -4.89c |    -4.69
  0.999   55    95c  1.0c |    96     65 | 23.96% |  92.0c |  -4.89c |    -4.69
  0.999   55    95c  3.0c |    96     65 | 23.96% |  92.0c |  -4.89c |    -4.69
  0.999   55    97c  0.3c |   189    114 | 12.17% |  95.6c |  -1.34c |    -2.53
  0.999   55    97c  1.0c |   189    114 | 12.17% |  95.6c |  -1.34c |    -2.53
  0.999   55    97c  3.0c |   155     98 | 14.84% |  94.9c |  -1.86c |    -2.88
  0.999   55    98c  0.3c |   353    168 |  6.52% |  97.2c |  -0.26c |    -0.90
  0.999   55    98c  1.0c |   353    168 |  6.52% |  97.2c |  -0.26c |    -0.90
  0.999   55    98c  3.0c |   155     98 | 14.84% |  94.9c |  -1.86c |    -2.88

BEST BY TOTAL (tape population -- hypotheses, not results)
  gate   tau  ceil  edge |  buys closes | loss%  | med px |  c/buy  |    total
  0.990   55    98c  0.3c |   594    222 |  4.88% |  96.8c |  +0.72c |    +4.26
  0.990   55    98c  1.0c |   589    222 |  4.92% |  96.8c |  +0.71c |    +4.18
  0.980   55    98c  0.3c |   661    232 |  5.30% |  96.6c |  +0.48c |    +3.19
  0.980   50    98c  0.3c |   574    223 |  5.23% |  96.6c |  +0.50c |    +2.85
  0.980   55    98c  1.0c |   626    228 |  5.59% |  96.3c |  +0.42c |    +2.64
  0.980   50    98c  1.0c |   543    218 |  5.52% |  96.3c |  +0.44c |    +2.40
  0.990   50    98c  0.3c |   513    211 |  5.26% |  96.8c |  +0.35c |    +1.81
  0.990   50    98c  1.0c |   509    211 |  5.30% |  96.8c |  +0.34c |    +1.74
  0.980   55    97c  0.3c |   462    199 |  7.58% |  94.9c |  +0.28c |    +1.32
  0.980   55    97c  1.0c |   459    198 |  7.63% |  94.9c |  +0.28c |    +1.31
  0.995   55    98c  0.3c |   516    211 |  5.23% |  97.0c |  +0.25c |    +1.30
  0.995   55    98c  1.0c |   516    211 |  5.23% |  97.0c |  +0.25c |    +1.30
  0.980   50    97c  0.3c |   392    188 |  7.65% |  94.9c |  +0.31c |    +1.22
  0.980   50    97c  1.0c |   389    188 |  7.71% |  94.9c |  +0.31c |    +1.21
  0.990   55    97c  0.3c |   378    183 |  7.67% |  95.1c |  +0.29c |    +1.11
